id,name,kind,type,scope,cluster,coverage,status,role,sources
"nsas","National Space Agency of Singapore","organisation","agency","domestic","","featured","active","Singapore's national space agency (from 1 Apr 2026)","nsas-establishment; stdp-nsas; nsas-wiki"
"mti","Ministry of Trade and Industry","organisation","government","domestic","","featured","active","Parent ministry of NSAS","nsas-establishment"
"edb","Economic Development Board","organisation","government","domestic","","featured","active","Established OSTIn (2013); investment & industry development","dir-2025; edb-nextbound"
"ostin","Office for Space Technology & Industry","organisation","government","domestic","","featured","renamed","Singapore's national space office, 2013–2026 (functions absorbed by NSAS)","dir-2025; stdp-nsas; edb-nextbound"
"caas","Civil Aviation Authority of Singapore","organisation","government","domestic","","featured","active","Applies satellites in air navigation (SATCOM, space-based ADS-B)","dir-2025"
"mpa","Maritime and Port Authority of Singapore","organisation","government","domestic","","featured","active","Uses satellites for maritime connectivity & safety (Satellite AIS, VDES)","dir-2025"
"esg","Enterprise Singapore","organisation","government","domestic","","featured","active","Supports space start-ups & SMEs (incl. Seeds Capital)","dir-2025"
"imda","Infocomm Media Development Authority","organisation","government","domestic","","featured","active","Regulates radio spectrum, satellite comms stations & orbital-slot filings","imda-spectrum"
"ntu","Nanyang Technological University","organisation","academia","domestic","","featured","active","Home of the Satellite Research Centre (SaRC) — builds Singapore-designed satellites","ntu-sarc; dir-2025"
"nus","National University of Singapore","organisation","academia","domestic","","featured","active","Satellite Technology & Research Centre (STAR, with DSO) and CRISP remote-sensing centre","nus-star; dir-2025"
"astar","Agency for Science, Technology and Research","organisation","academia","domestic","","featured","active","Advanced Remanufacturing & Technology Centre (ARTC) 3D-prints satellite parts","ntu-3sats-2023; dir-2025"
"dso","DSO National Laboratories","organisation","academia","domestic","","featured","active","National defence R&D lab; co-founded NUS STAR; built X-SAT","nus-star; dir-2025"
"sutd","Singapore University of Technology and Design","organisation","academia","domestic","","catalogued","active","University active in the space ecosystem","dir-2025"
"eos","Earth Observatory of Singapore","organisation","academia","domestic","","catalogued","active","NTU research institute using EO/remote sensing for geohazards","dir-2025"
"stdp","Space Technology Development Programme","programme","programme","domestic","","featured","active","National space R&D funding programme (S$150M initial + S$60M top-up)","stdp-nsas; edb-nextbound; dir-2025"
"sap","Space Access Programme","programme","programme","domestic","","featured","active","STDP archetype for testing technologies in space to achieve space heritage","stdp-nsas"
"gstc","Global Space & Technology Convention","programme","programme","international","","featured","active","Annual space convention (organised by Singapore Space & Technology Ltd)","gstc-2024"
"ssc","Singapore Space Community","programme","programme","domestic","","catalogued","active","AAIS platform connecting aerospace firms, space players & agencies","dir-2025"
"st-satsys","ST Engineering Satellite Systems","organisation","company","domestic","satellite-mfg","featured","active","Designs & manufactures small satellites and payloads","dir-2025; sginnovate-2026"
"addvalue","Addvalue Innovation","organisation","company","domestic","comms-ground","featured","active","Inter-Satellite Data Relay System (IDRS) for real-time satellite connectivity","dir-2025; sginnovate-2026"
"aliena","Aliena","organisation","company","domestic","propulsion","featured","active","Compact, fuel-efficient Hall-effect thrusters for small satellites","ntu-aliena-2022; dir-2025"
"nuspace","NuSpace","organisation","company","domestic","satellite-mfg","featured","active","Nanosatellites and a satellite IoT network for the equatorial belt","dir-2025"
"transcelestial","Transcelestial","organisation","company","domestic","comms-ground","featured","active","Free-space optical (laser) communications and inter-satellite links","sginnovate-2026; dir-2025"
"speqtral","SpeQtral","organisation","company","domestic","quantum","featured","active","Quantum-secure (QKD) satellite communications","edb-speqtral-2024; sginnovate-2026; dir-2025"
"equatorial","Equatorial Space Systems","organisation","company","domestic","launch","featured","active","Hybrid rocket propulsion and small-launch technology","dir-2025"
"zes","Zero-Error Systems","organisation","company","domestic","satellite-mfg","featured","active","Radiation-hardened semiconductors enabling COTS electronics in space","ntu-zes-2020; dir-2025"
"qosmosys","Qosmosys","organisation","company","domestic","satellite-mfg","featured","active","Spacecraft development for space-exploration missions","dir-2025"
"lighthaus","LightHaus Photonics","organisation","company","domestic","satellite-mfg","featured","active","Optical payloads and satellite cameras","dir-2025"
"st-geoinsights","ST Engineering Geo-Insights","organisation","company","domestic","geospatial","featured","active","Geospatial analytics turning satellite imagery into intelligence","dir-2025"
"eartheye","Eartheye Space","organisation","company","domestic","geospatial","catalogued","active","On-demand satellite tasking / Earth-observation data","dir-2025"
"aetosky","Aetosky","organisation","company","domestic","geospatial","catalogued","active","Geospatial intelligence solutions","dir-2025"
"satoro","Satoro","organisation","company","domestic","satellite-mfg","catalogued","active","Turnkey small-satellite missions (rapid build)","dir-2025"
"microspace","Microspace Rapid","organisation","company","domestic","satellite-mfg","catalogued","active","Small-satellite systems","dir-2025"
"thales-sg","Thales (Thales Solutions Asia)","organisation","international","international","satellite-mfg","featured","active","Global space manufacturer; runs the S4TIN joint lab with NTU","dir-2025"
"vast","Vast (Haven-1)","organisation","international","international","satellite-mfg","featured","active","US commercial space-station developer (Haven-1)","dir-2025; sginnovate-2026"
"airbus-sg","Airbus (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Global satellite manufacturer with a Singapore space-systems presence","dir-2025"
"planet-sg","Planet Labs (Singapore)","organisation","international","international","geospatial","catalogued","active","Daily global satellite imagery and geospatial solutions","dir-2025"
"spire-sg","Spire Global (Singapore)","organisation","international","international","geospatial","catalogued","active","Nanosatellite-constellation data (weather, maritime, aviation)","dir-2025"
"kacific","Kacific Broadband Satellites","organisation","international","international","comms-ground","catalogued","active","Broadband satellite operator for the Asia-Pacific","dir-2025"
"maxar-sg","Maxar (Singapore)","organisation","international","international","geospatial","catalogued","active","High-resolution Earth-imagery and space-infrastructure provider","dir-2025"
"cnes","CNES","organisation","international","international","","featured","active","French space agency; bilateral MoU with OSTIn (renewed 2022)","gstc-2024"
"esa","European Space Agency","organisation","international","international","","featured","active","Signed a letter of intent with OSTIn on business incubation","sginnovate-2026"
"unoosa","UN Office for Outer Space Affairs","organisation","international","international","","featured","active","UN body; Singapore participates in COPUOS","sginnovate-2026"
"sec-aerospace","Aerospace & precision engineering","sector","sector","","","featured","active","Established aerospace/precision base feeding space manufacturing","dir-2025"
"sec-microelectronics","Microelectronics & semiconductors","sector","sector","","","featured","active","Semiconductor strength underpinning space electronics","dir-2025"
"sec-ai","AI & data analytics","sector","sector","","","featured","active","AI/data-analytics capability powering geospatial & EO services","dir-2025; stdp-nsas"
"sec-quantum","Quantum technology","sector","sector","","","featured","active","Quantum research base (QKD) feeding secure space communications","dir-2025; edb-speqtral-2024"
"atomionics","Atomionics","organisation","company","domestic","quantum","featured","active","Cold-atom quantum sensors for gravity-aided navigation and positioning","cqt-atomionics-2021; dir-2025"
"bifrost","Bifrost","organisation","company","domestic","geospatial","featured","active","Synthetic geospatial data for training AI models on satellite imagery","nttdata-bifrost-2025; dir-2025"
"galamad","Galamad Aerospace","organisation","company","domestic","satellite-mfg","featured","active","Programmable, reusable small satellites (spacecraft design and build)","ntu-galamad-2023; dir-2025"
"kumi","Kumi Analytics","organisation","company","domestic","geospatial","catalogued","active","Satellite (SAR + multispectral) analytics for carbon and ecosystem monitoring","dir-2025"
"space-armour","Space Armour","organisation","company","domestic","downstream","catalogued","active","On-orbit AI infrastructure for secure, autonomous satellite operations","dir-2025"
"tritan-ams","Tritan AMS","organisation","company","domestic","satellite-mfg","catalogued","active","Additive manufacturing (3D printing) for aerospace and space components","dir-2025"
"beyond-earth","Beyond Earth Technologies","organisation","company","domestic","satellite-mfg","catalogued","active","Small-satellite development and space situational awareness","dir-2025"
"ses-sg","SES (Singapore)","organisation","international","international","comms-ground","catalogued","active","Global satellite operator (GEO/MEO fleet) with a Singapore presence","dir-2025"
"eutelsat-sg","Eutelsat (Singapore)","organisation","international","international","comms-ground","catalogued","active","Global satellite operator (GEO plus OneWeb LEO)","dir-2025"
"intelsat-sg","Intelsat (Singapore)","organisation","international","international","comms-ground","catalogued","active","Global satellite operator with a Singapore presence","dir-2025"
"iridium-sg","Iridium (Singapore)","organisation","international","international","comms-ground","catalogued","active","L-band satellite communications (LEO constellation)","dir-2025"
"viasat-sg","Viasat (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite broadband and communications","dir-2025"
"starlink-sg","Starlink (Singapore)","organisation","international","international","comms-ground","catalogued","active","LEO satellite broadband service (SpaceX)","dir-2025"
"intellian-sg","Intellian (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite antenna and terminal systems","dir-2025"
"kratos-sg","Kratos (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite ground systems and signal processing","dir-2025"
"astroscale-sg","Astroscale (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","On-orbit servicing and space-debris removal","dir-2025"
"gomspace-sg","GomSpace (Asia)","organisation","international","international","satellite-mfg","catalogued","active","Nanosatellite platforms and components","dir-2025"
"nec-space-sg","NEC Space Technologies (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Satellite systems and components","dir-2025"
"lockheed-sg","Lockheed Martin (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Global aerospace and space-systems prime","dir-2025"
"northrop-sg","Northrop Grumman (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Global aerospace and space-systems prime","dir-2025"
"infinite-orbits-sg","Infinite Orbits (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","GEO satellite life-extension and rendezvous services","dir-2025"
"synspective-sg","Synspective (Singapore)","organisation","international","international","geospatial","catalogued","active","SAR small-satellite Earth observation","dir-2025"
"unseenlabs-sg","Unseenlabs (Singapore)","organisation","international","international","geospatial","catalogued","active","RF-based maritime intelligence from space","dir-2025"
"digantara-sg","Digantara (Singapore)","organisation","international","international","geospatial","catalogued","active","Space situational awareness / space-domain awareness","dir-2025"
"arianespace-sg","Arianespace (Singapore)","organisation","international","international","launch","catalogued","active","Launch-services provider with a Singapore office","dir-2025"
"amplus","Amplus Communication","organisation","company","domestic","comms-ground","catalogued","active","VSAT and RF satellite-communications hardware (BUCs, transceivers, modems)","dir-2025"
"meds-tech","Meds Technologies","organisation","company","domestic","satellite-mfg","catalogued","active","Space-grade electronics and RF components; semiconductor foundry-link services","dir-2025"
"spacechain","SpaceChain","organisation","company","domestic","downstream","catalogued","active","Blockchain-based decentralised satellite infrastructure","dir-2025"
"liberatech","Liberatech Space","organisation","company","domestic","geospatial","catalogued","active","AI Earth-intelligence and analytics from satellite data","dir-2025"
"nera","Nera Telecommunications","organisation","company","domestic","comms-ground","catalogued","active","Satellite (VSAT) and microwave communications network solutions","dir-2025"
"speedcast-sg","Speedcast (Singapore)","organisation","international","international","comms-ground","catalogued","active","Managed satellite communications services","dir-2025"
"l3harris-sg","L3Harris (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Space and defence systems and RF payloads","dir-2025"
"cobham-satcom-sg","Cobham SATCOM (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite communications terminals and antennas","dir-2025"
"kvh-sg","KVH Industries (Singapore)","organisation","international","international","comms-ground","catalogued","active","Maritime satellite-communications terminals","dir-2025"
"comtech-sg","Comtech (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite network technologies (modems, amplifiers)","dir-2025"
"mitsubishi-electric-sg","Mitsubishi Electric (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Satellite systems and payloads","dir-2025"
"mhi-sg","Mitsubishi Heavy Industries (Singapore)","organisation","international","international","satellite-mfg","catalogued","active","Launch vehicles and aerospace/space systems","dir-2025"
"skyperfectjsat-sg","SKY Perfect JSAT (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite operator (Asia-Pacific)","dir-2025"
"abs-sg","ABS (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite operator (GEO fleet)","dir-2025"
"ast-sg","Applied Satellite Technology (Singapore)","organisation","international","international","comms-ground","catalogued","active","Satellite IoT and communications services","dir-2025"
